year,council,income,Roading,Transportation,Water supply,Wastewater,Solid waste/refuse,Environmental protection,Culture,Recreation and sport,Property,Emergency management,Planning and regulation,Community development,Economic development,Governance,Council support services,Other activities,Total
2011,Palmerston North City Council,Depreciation and amortisation,7686,270,1977,2830,331,0,2028,3829,3478,0,204,1,5,6,2244,0,24889
2011,Palmerston North City Council,"Current grants, subsidies, and donations expenditure",36,0,0,0,0,0,2960,328,1,0,14,1636,1887,0,476,0,7338
2011,Palmerston North City Council,Interest expenditure,0,0,0,0,78,0,0,0,1,0,0,0,0,0,10586,0,10665
2011,Palmerston North City Council,Purchases and other operating expenditure,4588,873,541,1811,1016,0,1384,3292,2004,91,2155,223,638,395,8266,0,27277
2011,Palmerston North City Council,Total operating expenditure,13862,1363,2518,4641,2046,0,10000,8689,6087,305,6217,1977,2820,1493,41673,0,103691
2011,Palmerston North City Council,Operating surplus/deficit,-1284,2722,4545,4894,4602,0,501,3365,-990,202,2552,626,-73,549,-31020,0,-8809
2011,Papakura District Council,Rates,2910,-129,0,1411,450,0,603,1745,668,98,690,761,269,426,1276,0,11178
2011,Papakura District Council,Regulatory income and petrol tax,273,318,0,0,371,0,0,0,0,0,1386,0,0,0,1290,0,3638
2011,Papakura District Council,"Current grants, subsidies, and donations income",185,0,0,6,0,0,3,0,0,1,0,148,68,0,0,0,411
2011,Papakura District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
2011,Papakura District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Papakura District Council,Sales and other operating income,136,0,0,75,0,0,58,23,100,0,2,50,32,0,23,0,499
2011,Papakura District Council,Total operating income,3504,189,0,1492,821,0,664,1768,768,99,2078,959,369,426,2623,0,15760
2011,Papakura District Council,Employee costs,483,0,0,301,0,0,297,0,0,0,1261,500,111,160,855,0,3968
2011,Papakura District Council,Depreciation and amortisation,1988,0,315,994,0,0,90,197,188,5,14,13,4,5,87,0,3900
2011,Papakura District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,1405,0,0,0,0,0,0,0,791,0,2196
2011,Papakura District Council,Interest expenditure,405,0,0,194,14,0,21,245,198,2,31,21,1,0,75,0,1207
2011,Papakura District Council,Purchases and other operating expenditure,1752,89,1,417,641,0,215,924,195,34,973,523,162,3,496,0,6425
2011,Papakura District Council,Total operating expenditure,4628,89,316,1906,655,0,2028,1366,581,41,2279,1057,278,168,2304,0,17696
2011,Papakura District Council,Operating surplus/deficit,-1124,100,-316,-414,166,0,-1364,402,187,58,-201,-98,91,258,319,0,-1936
2011,Porirua City Council,Rates,325,0,4526,4281,416,0,0,0,0,0,0,0,0,0,32946,0,42494
2011,Porirua City Council,Regulatory income and petrol tax,227,82,0,0,0,0,62,0,0,0,1517,0,0,0,197,0,2085
2011,Porirua City Council,"Current grants, subsidies, and donations income",1765,0,0,0,245,0,167,781,61,26,20,17,436,0,2,0,3520
2011,Porirua City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,664
2011,Porirua City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Porirua City Council,Sales and other operating income,0,17,815,20,3907,0,376,2828,1947,3,0,164,69,121,570,0,10837
2011,Porirua City Council,Total operating income,2317,99,5341,4301,4568,0,605,3609,2008,29,1537,181,505,121,34379,0,59600
2011,Porirua City Council,Employee costs,0,20,0,0,5,0,1900,2387,0,121,2442,403,640,759,11729,0,20406
2011,Porirua City Council,Depreciation and amortisation,2468,719,1857,5419,223,0,928,2348,295,75,9,80,20,1,1609,0,16051
2011,Porirua City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,44,0,30,0,55,251,0,10,307,0,697
2011,Porirua City Council,Interest expenditure,0,0,0,0,198,0,0,0,1,0,0,0,0,0,2938,0,3137
2011,Porirua City Council,Purchases and other operating expenditure,2976,524,3042,901,4083,0,1573,2854,398,252,1547,334,-489,447,7739,0,26181
2011,Porirua City Council,Total operating expenditure,5444,1263,4899,6320,4509,0,4445,7589,724,448,4053,1068,171,1217,24322,0,66472
2011,Porirua City Council,Operating surplus/deficit,-3127,-1164,442,-2019,59,0,-3840,-3980,1284,-419,-2516,-887,334,-1096,10057,0,-6872
2011,Queenstown Lakes District Council,Rates,10414,0,6422,7542,2957,0,0,1139,0,0,0,0,3620,0,19259,0,51353
2011,Queenstown Lakes District Council,Regulatory income and petrol tax,310,126,0,0,0,0,0,0,0,0,767,0,0,0,755,0,1958
2011,Queenstown Lakes District Council,"Current grants, subsidies, and donations income",2787,0,0,0,70,0,0,477,0,309,0,31,0,0,0,0,3674
2011,Queenstown Lakes District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,639
2011,Queenstown Lakes District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Queenstown Lakes District Council,Sales and other operating income,88,817,374,283,3232,0,125,2585,5030,0,36,0,0,0,531,0,13101
2011,Queenstown Lakes District Council,Total operating income,13599,943,6796,7825,6259,0,125,4201,5030,309,803,31,3620,0,21184,0,70725
2011,Queenstown Lakes District Council,Employee costs,0,0,0,0,0,0,852,1092,958,66,891,298,0,486,3238,0,7881
2011,Queenstown Lakes District Council,Depreciation and amortisation,6505,181,1939,4249,92,0,334,1479,128,116,0,0,0,0,1522,0,16545
2011,Queenstown Lakes District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,40,0,0,0,0,0,3787,0,0,0,3827
2011,Queenstown Lakes District Council,Interest expenditure,1551,0,751,1788,0,0,0,607,715,0,508,0,0,0,549,0,6469
2011,Queenstown Lakes District Council,Purchases and other operating expenditure,6982,356,5059,4514,5979,150,605,2561,9335,268,4764,529,21,0,561,0,41684
2011,Queenstown Lakes District Council,Total operating expenditure,15038,537,7749,10551,6071,150,1831,5739,11136,450,6163,827,3808,486,5870,0,76406
2011,Queenstown Lakes District Council,Operating surplus/deficit,-1439,406,-953,-2726,188,-150,-1706,-1538,-6106,-141,-5360,-796,-188,-486,15314,0,-5681
2011,Rangitikei District Council,Rates,6785,0,2009,2407,599,0,727,1140,483,87,650,530,229,476,0,0,16122
2011,Rangitikei District Council,Regulatory income and petrol tax,106,0,0,0,0,0,0,0,0,0,671,0,0,0,279,0,1056
2011,Rangitikei District Council,"Current grants, subsidies, and donations income",12617,0,0,0,0,0,43,0,0,15,0,0,167,0,0,0,12842
2011,Rangitikei District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,556
2011,Rangitikei District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Rangitikei District Council,Sales and other operating income,106,0,1431,222,463,0,55,27,394,0,0,0,30,55,0,394,3177
2011,Rangitikei District Council,Total operating income,19614,0,3440,2629,1062,0,825,1167,877,102,1321,530,426,531,835,394,33753
2011,Rangitikei District Council,Employee costs,0,0,8,0,0,0,528,6,0,0,549,0,201,0,879,0,2171
2011,Rangitikei District Council,Depreciation and amortisation,6425,0,1033,803,34,0,108,230,529,7,0,0,6,0,154,0,9329
2011,Rangitikei District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,541
2011,Rangitikei District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
2011,Rangitikei District Council,Purchases and other operating expenditure,9376,0,881,973,761,0,67,954,958,169,-1,0,360,25,900,3,15426
2011,Rangitikei District Council,Total operating expenditure,15801,0,1922,1776,795,0,703,1190,1487,176,548,0,567,25,2490,3,27483
2011,Rangitikei District Council,Operating surplus/deficit,3813,0,1518,853,267,0,122,-23,-610,-74,773,530,-141,506,-1655,391,6270
2011,Rodney District Council,Rates,9775,0,2515,5185,928,832,1456,3391,1217,0,3474,3568,858,182,0,1694,35075
2011,Rodney District Council,Regulatory income and petrol tax,422,0,27,370,0,135,14,4,0,0,905,0,7,0,127,0,2011
2011,Rodney District Council,"Current grants, subsidies, and donations income",2222,0,0,0,0,0,0,0,0,173,0,20,0,0,0,0,2415
2011,Rodney District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,234
2011,Rodney District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Rodney District Council,Sales and other operating income,1016,0,754,2433,-5,80,31,1639,1859,120,1239,0,198,186,607,23,10180
2011,Rodney District Council,Total operating income,13435,0,3296,7988,923,1047,1501,5034,3076,293,5618,3588,1063,368,968,1717,49915
2011,Rodney District Council,Employee costs,0,0,0,0,67,95,814,1239,348,125,4996,95,233,221,4227,0,12460
2011,Rodney District Council,Depreciation and amortisation,6222,0,1093,3512,10,184,510,1630,815,35,0,0,5,0,242,0,14258
2011,Rodney District Council,"Current grants, subsidies, and donations expenditure",0,0,0,62,0,0,2,0,0,6,4,572,411,0,0,0,1057
2011,Rodney District Council,Interest expenditure,1261,0,371,2031,2,1566,8,20,76,13,13,4,2,0,967,0,6334
2011,Rodney District Council,Purchases and other operating expenditure,4483,0,2496,7458,2095,1372,2003,1297,2709,51,6370,2422,491,205,901,0,34353
2011,Rodney District Council,Total operating expenditure,11966,0,3960,13063,2174,3217,3337,4186,3948,230,11383,3093,1142,426,6337,0,68462
2011,Rodney District Council,Operating surplus/deficit,1469,0,-664,-5075,-1251,-2170,-1836,848,-872,63,-5765,495,-79,-58,-5369,1717,-18547
2011,Rotorua District Council,Rates,8974,215,3146,18350,2042,103,3051,9451,2134,0,3910,2949,5452,2300,139,1854,64070
2011,Rotorua District Council,Regulatory income and petrol tax,570,1750,11,669,0,0,0,0,0,0,3037,0,0,0,1498,0,7535
2011,Rotorua District Council,"Current grants, subsidies, and donations income",2368,241,0,0,0,0,74,20,3,7,0,235,488,4,0,0,3440
2011,Rotorua District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,117
2011,Rotorua District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Rotorua District Council,Sales and other operating income,859,2223,4242,584,4914,0,3226,2441,995,1,-88,5,2077,116,513,31,22139
2011,Rotorua District Council,Total operating income,12771,4429,7399,19603,6956,103,6351,11912,3132,8,6859,3189,8017,2420,2267,1885,97301
2011,Rotorua District Council,Employee costs,192,535,1081,2685,811,0,4156,3634,658,84,3794,647,2128,275,12576,0,33256
2011,Rotorua District Council,Depreciation and amortisation,4768,951,4218,5905,1216,0,2355,2306,1744,39,34,84,107,5,2365,0,26097
2011,Rotorua District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,1223,0,168,33,3,0,24,513,0,54,1,0,2019
2011,Rotorua District Council,Interest expenditure,0,3492,0,0,0,0,0,0,0,0,0,0,0,0,4305,0,7797
2011,Rotorua District Council,Purchases and other operating expenditure,5546,1037,1505,3049,2828,2,3346,3070,1588,191,1080,1456,4951,1108,4472,0,35229
2011,Rotorua District Council,Total operating expenditure,10506,6015,6804,11639,6078,2,10025,9043,3993,314,4932,2700,7186,1442,23719,0,104398
2011,Rotorua District Council,Operating surplus/deficit,2265,-1586,595,7964,878,101,-3674,2869,-861,-306,1927,489,831,978,-21452,1885,-7097
2011,Ruapehu District Council,Rates,4914,0,2477,2802,1545,0,0,2015,204,0,1445,761,0,1365,570,0,18098
2011,Ruapehu District Council,Regulatory income and petrol tax,144,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,791
2011,Ruapehu District Council,"Current grants, subsidies, and donations income",10964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10964
2011,Ruapehu District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45
2011,Ruapehu District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Ruapehu District Council,Sales and other operating income,324,0,517,47,769,0,0,160,322,0,134,407,0,0,0,0,2680
2011,Ruapehu District Council,Total operating income,16346,0,2994,2849,2314,0,0,2175,526,0,2226,1168,0,1365,615,0,32578
2011,Ruapehu District Council,Employee costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4122,0,4122
2011,Ruapehu District Council,Depreciation and amortisation,3880,0,875,1118,123,0,0,115,31,0,0,0,0,0,348,0,6490
2011,Ruapehu District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,570
2011,Ruapehu District Council,Interest expenditure,611,0,484,385,90,0,0,8,7,0,0,0,0,0,381,0,1966
2011,Ruapehu District Council,Purchases and other operating expenditure,6889,0,1329,838,968,0,0,1330,262,0,536,822,0,315,1658,0,14947
2011,Ruapehu District Council,Total operating expenditure,11380,0,2688,2341,1181,0,0,1453,300,0,536,822,0,315,7079,0,28095
2011,Ruapehu District Council,Operating surplus/deficit,4966,0,306,508,1133,0,0,722,226,0,1690,346,0,1050,-6464,0,4483
2011,Selwyn District Council,Rates,0,0,4144,2381,3309,200,1877,527,704,0,0,0,0,429,9293,0,22864
2011,Selwyn District Council,Regulatory income and petrol tax,182,0,0,0,0,0,66,0,0,0,3044,0,0,0,185,0,3477
2011,Selwyn District Council,"Current grants, subsidies, and donations income",7590,0,0,0,0,0,5,0,0,70,15,279,0,0,0,0,7959
2011,Selwyn District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,452
2011,Selwyn District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3751,0,3751
2011,Selwyn District Council,Sales and other operating income,53,0,799,360,2250,0,8,513,2695,20,1076,194,0,2,638,0,8608
2011,Selwyn District Council,Total operating income,7825,0,4943,2741,5559,200,1956,1040,3399,90,4135,473,0,431,14319,0,47111
2011,Selwyn District Council,Employee costs,0,0,0,0,0,0,805,135,409,155,3568,410,0,667,2510,2639,11298
2011,Selwyn District Council,Depreciation and amortisation,8334,0,1826,1671,111,38,222,579,882,157,68,0,0,0,268,77,14233
2011,Selwyn District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,33,0,0,2,0,249,0,121,63,0,468
2011,Selwyn District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,0,1603
2011,Selwyn District Council,Purchases and other operating expenditure,7032,0,4832,1877,3441,141,202,1123,2260,173,2369,149,0,698,3487,403,28187
2011,Selwyn District Council,Total operating expenditure,15366,0,6658,3548,3552,179,1262,1837,3551,487,6005,808,0,1486,7931,3119,55789
2011,Selwyn District Council,Operating surplus/deficit,-7541,0,-1715,-807,2007,21,694,-797,-152,-397,-1870,-335,0,-1055,6388,-3119,-8678
2011,South Taranaki District Council,Rates,6070,0,8927,3174,1475,0,2829,3817,0,0,0,0,148,0,4344,0,30784
2011,South Taranaki District Council,Regulatory income and petrol tax,189,0,0,0,61,0,17,0,0,0,853,0,0,0,153,0,1273
2011,South Taranaki District Council,"Current grants, subsidies, and donations income",6877,0,122,0,0,0,22,167,20,0,0,342,11,1,4,0,7566
2011,South Taranaki District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,494
2011,South Taranaki District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111
2011,South Taranaki District Council,Sales and other operating income,65,0,142,371,947,0,99,825,434,175,471,19,184,0,112,0,3844
2011,South Taranaki District Council,Total operating income,13201,0,9191,3545,2483,0,2967,4809,454,175,1324,361,343,1,5218,0,44072
2011,South Taranaki District Council,Employee costs,157,0,272,202,47,0,1155,794,33,106,1156,451,308,390,4824,25,9920
2011,South Taranaki District Council,Depreciation and amortisation,5927,0,2502,2359,57,0,212,1216,739,15,0,0,1,0,608,47,13683
2011,South Taranaki District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,229,97,42,68,43,507,238,20,146,1,1391
2011,South Taranaki District Council,Interest expenditure,96,0,1887,823,148,0,11,1408,155,0,1,74,96,0,222,17,4938
2011,South Taranaki District Council,Purchases and other operating expenditure,7243,0,2466,1646,2594,0,352,2034,1051,460,397,72,335,242,2236,274,21402
2011,South Taranaki District Council,Total operating expenditure,13423,0,7127,5030,2846,0,1959,5549,2020,649,1597,1104,978,652,8036,364,51334
2011,South Taranaki District Council,Operating surplus/deficit,-222,0,2064,-1485,-363,0,1008,-740,-1566,-474,-273,-743,-635,-651,-2818,-364,-7262
2011,South Waikato District Council,Rates,3434,0,1572,2658,612,0,1258,1141,137,0,1469,955,480,1582,124,2749,18171
2011,South Waikato District Council,Regulatory income and petrol tax,132,0,0,0,0,0,0,0,0,0,767,0,0,0,324,0,1223
2011,South Waikato District Council,"Current grants, subsidies, and donations income",1254,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1292
2011,South Waikato District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,1515
2011,South Waikato District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,179
2011,South Waikato District Council,Sales and other operating income,29,0,237,5,825,0,106,174,356,12,0,0,0,0,0,384,2128
2011,South Waikato District Council,Total operating income,4849,0,1809,2663,1437,0,1364,1315,493,12,2236,955,480,1620,2142,3133,24508
2011,South Waikato District Council,Employee costs,0,0,0,0,13,0,533,0,20,70,1183,97,145,286,5547,0,7894
2011,South Waikato District Council,Depreciation and amortisation,2473,0,610,1190,57,0,90,355,214,0,0,0,0,0,883,0,5872
2011,South Waikato District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,382,378,0,0,0,760
2011,South Waikato District Council,Interest expenditure,56,0,0,5,204,0,38,0,0,0,0,0,0,0,34,0,337
2011,South Waikato District Council,Purchases and other operating expenditure,2874,0,1221,1665,1630,0,189,1007,389,132,490,407,200,246,392,0,10842
2011,South Waikato District Council,Total operating expenditure,5403,0,1831,2860,1904,0,850,1362,623,202,1673,886,723,532,6856,0,25705
2011,South Waikato District Council,Operating surplus/deficit,-554,0,-22,-197,-467,0,514,-47,-130,-190,563,69,-243,1088,-4714,3133,-1197
2011,South Wairarapa District Council,Rates,2251,0,2125,1076,796,0,553,764,396,237,758,128,153,671,250,0,10158
2011,South Wairarapa District Council,Regulatory income and petrol tax,82,0,198,14,207,0,40,18,28,0,652,0,0,0,175,4,1418
2011,South Wairarapa District Council,"Current grants, subsidies, and donations income",1251,0,0,0,0,0,10,0,5,2,0,0,0,0,0,0,1268
2011,South Wairarapa District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,248
2011,South Wairarapa District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,South Wairarapa District Council,Sales and other operating income,562,0,54,49,27,0,0,10,302,126,156,0,0,2,0,38,1326
2011,South Wairarapa District Council,Total operating income,4146,0,2377,1139,1030,0,603,792,731,365,1566,128,153,673,673,42,14418
2011,South Wairarapa District Council,Employee costs,0,0,57,12,6,0,231,9,33,89,664,0,0,221,1177,0,2499
2011,South Wairarapa District Council,Depreciation and amortisation,1980,0,810,395,27,0,140,86,57,23,54,0,0,10,90,0,3672
2011,South Wairarapa District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,32,20,0,0,0,0,107,9,0,27,195
2011,South Wairarapa District Council,Interest expenditure,99,0,147,272,0,0,0,17,2,0,0,0,0,0,102,0,639
2011,South Wairarapa District Council,Purchases and other operating expenditure,2653,0,1367,547,1272,0,261,631,615,253,603,75,30,410,-1389,-38,7290
2011,South Wairarapa District Council,Total operating expenditure,4732,0,2381,1226,1305,0,664,763,707,365,1321,75,137,650,-20,-11,14295
2011,South Wairarapa District Council,Operating surplus/deficit,-586,0,-4,-87,-275,0,-61,29,24,0,245,53,16,23,693,53,123
2011,Southland District Council,Rates,10608,410,2511,3595,3159,0,1058,664,554,263,1256,2857,0,2455,4165,954,34509
2011,Southland District Council,Regulatory income and petrol tax,306,0,0,0,0,0,0,0,39,0,1712,0,0,17,408,0,2482
2011,Southland District Council,"Current grants, subsidies, and donations income",5256,0,0,0,0,0,5,11,142,0,0,35,0,0,1,77,5527
2011,Southland District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,230
2011,Southland District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Southland District Council,Sales and other operating income,221,127,217,215,501,0,49,51,656,0,122,251,0,116,228,3790,6544
2011,Southland District Council,Total operating income,16391,537,2728,3810,3660,0,1112,726,1391,263,3090,3143,0,2588,5032,4821,49292
2011,Southland District Council,Employee costs,470,0,0,0,181,0,632,27,374,0,1744,-191,0,1061,5074,1419,10791
2011,Southland District Council,Depreciation and amortisation,16124,539,837,1661,89,0,207,107,447,0,53,20,0,26,538,177,20825
2011,Southland District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,144,221,1,2625,0,71,354,0,3416
2011,Southland District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
2011,Southland District Council,Purchases and other operating expenditure,10275,113,1898,1838,3065,0,358,599,1330,18,706,306,0,1151,1916,297,23870
2011,Southland District Council,Total operating expenditure,26869,652,2735,3499,3335,0,1197,733,2295,239,2504,2760,0,2309,7913,1893,58933
2011,Southland District Council,Operating surplus/deficit,-10478,-115,-7,311,325,0,-85,-7,-904,24,586,383,0,279,-2881,2928,-9641
2011,Southland Regional Council,Rates,0,0,0,0,0,7500,0,0,1109,187,1585,0,0,0,0,152,10533
2011,Southland Regional Council,Regulatory income and petrol tax,0,0,0,0,0,118,0,0,0,0,2135,0,0,0,155,0,2408
2011,Southland Regional Council,"Current grants, subsidies, and donations income",0,169,0,0,0,57,0,0,0,217,98,0,0,0,65,0,606
2011,Southland Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80
2011,Southland Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139,0,3139
2011,Southland Regional Council,Sales and other operating income,0,0,0,0,0,1293,0,0,789,0,1390,0,0,36,65,27,3600
2011,Southland Regional Council,Total operating income,0,169,0,0,0,8968,0,0,1898,404,5208,0,0,36,3504,179,20366
2011,Southland Regional Council,Employee costs,0,0,0,0,0,3155,0,0,68,0,2408,0,0,575,2426,134,8766
2011,Southland Regional Council,Depreciation and amortisation,0,0,0,0,0,337,0,0,104,22,95,0,0,7,46,5,616
2011,Southland Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,752,0,0,0,0,227,0,0,63,48,9,1099
2011,Southland Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42
2011,Southland Regional Council,Purchases and other operating expenditure,0,0,0,0,0,5541,0,0,714,414,1097,0,0,643,1188,51,9648
2011,Southland Regional Council,Total operating expenditure,0,0,0,0,0,9785,0,0,886,436,3827,0,0,1288,3750,199,20171
2011,Southland Regional Council,Operating surplus/deficit,0,169,0,0,0,-817,0,0,1012,-32,1381,0,0,-1252,-246,-20,195
2011,Stratford District Council,Rates,3120,0,853,577,598,0,379,794,370,62,407,281,557,765,81,74,8918
2011,Stratford District Council,Regulatory income and petrol tax,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
2011,Stratford District Council,"Current grants, subsidies, and donations income",2294,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2316
2011,Stratford District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,321
2011,Stratford District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Stratford District Council,Sales and other operating income,63,0,134,9,40,0,17,96,586,0,343,0,108,146,0,325,1867
2011,Stratford District Council,Total operating income,5545,0,987,586,638,0,396,890,956,62,750,303,665,911,402,399,13490
2011,Stratford District Council,Employee costs,0,0,0,0,0,0,162,0,0,4,266,66,215,0,1441,174,2328
2011,Stratford District Council,Depreciation and amortisation,2617,0,196,118,18,0,75,126,301,0,0,0,1,0,311,1,3764
2011,Stratford District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81
2011,Stratford District Council,Interest expenditure,54,0,13,35,0,0,0,5,3,0,0,0,1,0,35,0,146
2011,Stratford District Council,Purchases and other operating expenditure,2641,0,558,284,460,0,76,732,541,41,164,139,195,314,651,43,6839
2011,Stratford District Council,Total operating expenditure,5312,0,767,437,478,0,313,863,845,45,430,205,412,314,2519,218,13158
2011,Stratford District Council,Operating surplus/deficit,233,0,220,149,160,0,83,27,111,17,320,98,253,597,-2117,181,332
2011,Taranaki Regional Council,Rates,0,711,0,0,0,417,0,334,0,0,0,0,0,0,6855,0,8317
2011,Taranaki Regional Council,Regulatory income and petrol tax,0,0,0,0,0,2462,0,0,0,0,0,0,0,0,0,0,2462
2011,Taranaki Regional Council,"Current grants, subsidies, and donations income",0,1264,0,0,0,286,0,0,0,0,0,0,0,0,0,0,1550
2011,Taranaki Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,946
2011,Taranaki Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,1850
2011,Taranaki Regional Council,Sales and other operating income,0,768,0,0,0,1191,0,84,0,342,0,0,0,0,973,0,3358
2011,Taranaki Regional Council,Total operating income,0,2743,0,0,0,4356,0,418,0,342,0,0,0,0,10624,0,18483
2011,Taranaki Regional Council,Employee costs,0,234,0,0,0,3875,0,711,0,163,622,0,0,395,2397,0,8397
2011,Taranaki Regional Council,Depreciation and amortisation,0,0,0,0,0,385,0,210,0,20,17,0,0,14,605,0,1251
2011,Taranaki Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,150
2011,Taranaki Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Taranaki Regional Council,Purchases and other operating expenditure,0,2731,0,0,0,3013,0,230,0,160,159,0,0,103,2426,0,8822
2011,Taranaki Regional Council,Total operating expenditure,0,2965,0,0,0,7273,150,1151,0,343,798,0,0,512,5428,0,18620
2011,Taranaki Regional Council,Operating surplus/deficit,0,-222,0,0,0,-2917,-150,-733,0,-1,-798,0,0,-512,5196,0,-137
2011,Tararua District Council,Rates,6631,176,1270,2694,992,0,747,1062,735,309,567,765,260,996,0,0,17204
2011,Tararua District Council,Regulatory income and petrol tax,131,0,0,0,0,0,0,0,0,0,609,0,0,0,167,0,907
2011,Tararua District Council,"Current grants, subsidies, and donations income",7503,0,0,0,54,0,0,0,6,34,0,0,0,0,0,0,7597
2011,Tararua District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,585
2011,Tararua District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,150
2011,Tararua District Council,Sales and other operating income,19,2,559,112,719,0,51,179,583,133,17,17,17,97,58,0,2563
2011,Tararua District Council,Total operating income,14284,178,1829,2806,1765,0,798,1241,1324,476,1193,782,277,1093,960,0,29006
2011,Tararua District Council,Employee costs,1625,0,157,213,428,0,158,272,254,67,81,342,79,334,0,0,4010
2011,Tararua District Council,Depreciation and amortisation,7225,34,1057,970,334,0,108,254,713,74,52,7,10,88,58,0,10984
2011,Tararua District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Tararua District Council,Interest expenditure,130,6,90,324,114,0,1,12,18,9,0,10,0,2,0,0,716
2011,Tararua District Council,Purchases and other operating expenditure,4521,134,1781,919,1664,0,460,853,666,363,1226,407,158,980,0,0,14132
2011,Tararua District Council,Total operating expenditure,13501,174,3085,2426,2540,0,727,1391,1651,513,1359,766,247,1404,58,0,29842
2011,Tararua District Council,Operating surplus/deficit,783,4,-1256,380,-775,0,71,-150,-327,-37,-166,16,30,-311,902,0,-836
